input_id	input_category	database	n_pathways_returned	n_sig_padj_05	n_sig_padj_01	frac_sig_padj_05	median_abs_NES_sig
tcga_cancer__UCEC_limma	tcga_cancer	hallmark	50	24	18	0.48	1.859165126530475
tcga_cancer__UCEC_limma	tcga_cancer	c2_kegg	186	44	29	0.2366	1.755414915027235
tcga_cancer__UCEC_limma	tcga_cancer	c2_reactome	1787	467	348	0.2613	1.87291699233877
tcga_cancer__UCEC_limma	tcga_cancer	c2_wikipathways	914	114	62	0.1247	1.790561104783015
tcga_cancer__UCEC_limma	tcga_cancer	c5_go_bp	7036	642	373	0.0912	1.7275284690959398
census_scrna__16023185_pseudobulk	census_scrna	hallmark	50	16	14	0.32	1.887706546517885
census_scrna__16023185_pseudobulk	census_scrna	c2_kegg	185	29	21	0.1568	1.99607484293036
census_scrna__16023185_pseudobulk	census_scrna	c2_reactome	1546	310	212	0.2005	1.7965988353095002
census_scrna__16023185_pseudobulk	census_scrna	c2_wikipathways	814	42	27	0.0516	1.9072800493086448
census_scrna__16023185_pseudobulk	census_scrna	c5_go_bp	5589	234	141	0.0419	1.802184936361275
census_scrna__16023185_wilcoxon	census_scrna	hallmark	50	10	0	0.2	1.234452011155525
census_scrna__16023185_wilcoxon	census_scrna	c2_kegg	185	27	14	0.1459	1.75518614953891
census_scrna__16023185_wilcoxon	census_scrna	c2_reactome	1546	95	46	0.0614	1.3527803290093
census_scrna__16023185_wilcoxon	census_scrna	c2_wikipathways	814	12	9	0.0147	1.8541486427576799
census_scrna__16023185_wilcoxon	census_scrna	c5_go_bp	5589	123	57	0.022	1.26797582572491
census_scrna__19053a82_pseudobulk	census_scrna	hallmark	50	2	2	0.04	1.5675287890364
census_scrna__19053a82_pseudobulk	census_scrna	c2_kegg	165	3	2	0.0182	1.71282037728665
census_scrna__19053a82_pseudobulk	census_scrna	c2_reactome	1191	65	7	0.0546	1.56792106698908
census_scrna__19053a82_pseudobulk	census_scrna	c2_wikipathways	630	4	0	0.0063	2.055098491165515
census_scrna__19053a82_pseudobulk	census_scrna	c5_go_bp	4050	6	6	0.0015	2.548109121734175
census_scrna__19053a82_wilcoxon	census_scrna	hallmark	50	5	0	0.1	1.65539786111058
census_scrna__19053a82_wilcoxon	census_scrna	c2_kegg	183	6	2	0.0328	1.65088806656191
census_scrna__19053a82_wilcoxon	census_scrna	c2_reactome	1528	96	45	0.0628	1.7130751231488799
census_scrna__19053a82_wilcoxon	census_scrna	c2_wikipathways	809	9	2	0.0111	1.68010231683654
census_scrna__19053a82_wilcoxon	census_scrna	c5_go_bp	5506	15	0	0.0027	1.78445489986801
census_scrna__218acb0f_pseudobulk	census_scrna	hallmark	49	16	14	0.3265	1.7882402420349401
census_scrna__218acb0f_pseudobulk	census_scrna	c2_kegg	157	5	1	0.0318	1.88586282072633
