input_id	input_category	db_a	db_b	leading_edge_gene_jaccard_sig05	n_sig_pathway_names_shared	direction_concordance_on_shared	n_genes_unique_to_a	n_genes_unique_to_b	n_sig_genes_a	n_sig_genes_b
tcga_cancer__KICH_edgeR	tcga_cancer	hallmark	c2_wikipathways	0.1695	0		637	647	899	909
tcga_cancer__KICH_edgeR	tcga_cancer	hallmark	c5_go_bp	0.1714	0		260	2830	899	3469
tcga_cancer__KICH_edgeR	tcga_cancer	c2_kegg	c2_reactome	0.2067	0		199	1705	695	2201
tcga_cancer__KICH_edgeR	tcga_cancer	c2_kegg	c2_wikipathways	0.262	0		362	576	695	909
tcga_cancer__KICH_edgeR	tcga_cancer	c2_kegg	c5_go_bp	0.157	0		130	2904	695	3469
tcga_cancer__KICH_edgeR	tcga_cancer	c2_reactome	c2_wikipathways	0.2336	0		1612	320	2201	909
tcga_cancer__KICH_edgeR	tcga_cancer	c2_reactome	c5_go_bp	0.3959	0		593	1861	2201	3469
tcga_cancer__KICH_edgeR	tcga_cancer	c2_wikipathways	c5_go_bp	0.1985	0		184	2744	909	3469
tcga_cancer__KICH_limma	tcga_cancer	hallmark	c2_kegg	0.1428	0		750	463	952	665
tcga_cancer__KICH_limma	tcga_cancer	hallmark	c2_reactome	0.1889	0		430	1811	952	2333
tcga_cancer__KICH_limma	tcga_cancer	hallmark	c2_wikipathways	0.1897	0		622	788	952	1118
tcga_cancer__KICH_limma	tcga_cancer	hallmark	c5_go_bp	0.1693	0		260	3135	952	3827
tcga_cancer__KICH_limma	tcga_cancer	c2_kegg	c2_reactome	0.193	0		180	1848	665	2333
tcga_cancer__KICH_limma	tcga_cancer	c2_kegg	c2_wikipathways	0.2565	0		301	754	665	1118
tcga_cancer__KICH_limma	tcga_cancer	c2_kegg	c5_go_bp	0.1468	0		90	3252	665	3827
tcga_cancer__KICH_limma	tcga_cancer	c2_reactome	c2_wikipathways	0.2586	0		1624	409	2333	1118
tcga_cancer__KICH_limma	tcga_cancer	c2_reactome	c5_go_bp	0.3836	0		625	2119	2333	3827
tcga_cancer__KICH_limma	tcga_cancer	c2_wikipathways	c5_go_bp	0.2252	0		209	2918	1118	3827
tcga_cancer__KIRC_DESeq2	tcga_cancer	hallmark	c2_kegg	0.2373	0		730	424	1089	783
tcga_cancer__KIRC_DESeq2	tcga_cancer	hallmark	c2_reactome	0.2454	0		548	1116	1089	1657
tcga_cancer__KIRC_DESeq2	tcga_cancer	hallmark	c2_wikipathways	0.264	0		650	574	1089	1013
tcga_cancer__KIRC_DESeq2	tcga_cancer	hallmark	c5_go_bp	0.2298	0		336	2188	1089	2941
tcga_cancer__KIRC_DESeq2	tcga_cancer	c2_kegg	c2_reactome	0.3069	0		210	1084	783	1657
tcga_cancer__KIRC_DESeq2	tcga_cancer	c2_kegg	c2_wikipathways	0.389	0		280	510	783	1013
