cell	n_genes_by_counts	total_counts	pct_counts_mt
105629775	1357	4462.0	2.4428508
105629778	1414	4475.0	2.1452515
105629788	1088	3191.0	3.7605767
105629847	1424	5210.0	3.4548945
105629941	1546	5003.0	3.457925
105630047	1512	4032.0	2.3313494
105630059	1955	6337.0	4.339593
105630084	1255	3324.0	3.068592
105630103	2267	5475.0	2.502283
105630117	1309	4078.0	3.776361
105630145	1294	3878.0	2.3981433
105630190	2460	7878.0	3.3511043
105630226	1837	7027.0	4.383094
105630228	1397	4120.0	5.461165
105630254	2646	8809.0	5.3127484
105630301	1193	4107.0	3.360117
105630373	1605	5773.0	8.626364
105630441	1371	4814.0	2.5758204
105630576	1419	4125.0	3.0545454
105630648	1078	2959.0	3.4809058
105630930	1462	4314.0	3.3379693
105631011	1057	3049.0	2.4926207
105631026	1046	3027.0	5.4179053
105631027	1343	3533.0	4.387206
105631038	1299	3612.0	5.121816
105631073	1078	3853.0	5.4243445
105631077	962	2805.0	4.2424245
105631084	1493	4568.0	4.7504377
105631086	1383	4672.0	3.8527396
105631119	1249	4468.0	5.662489
105631152	1353	4072.0	4.8379173
105631335	2228	9137.0	2.1341796
105631605	1497	4363.0	3.4380014
105631623	1880	5773.0	6.2012815
105631673	1575	4409.0	3.039238
105631700	1827	5190.0	5.83815
105631761	2096	5981.0	4.3638186
105631794	1177	2829.0	6.0091906
105631858	1769	5104.0	5.2899685
105631986	1292	3244.0	2.7127004
105632008	1671	5787.0	3.0412993
105632035	1700	5010.0	6.467066
105632072	1822	6181.0	6.261123
105632113	1372	4385.0	1.9612315
105632114	2219	8832.0	3.7930255
105632308	2172	7362.0	3.3279002
105632410	1445	4287.0	3.8255188
105632440	1162	4012.0	3.9631107
105632524	1081	3523.0	3.888731
105632547	1181	2454.0	7.2534637
105632563	1197	3649.0	3.8092628
105632717	1618	5987.0	2.3885083
105632837	2151	6346.0	8.383234
105632871	1363	3186.0	4.0803514
105632882	2155	6799.0	4.956611
105632921	2043	5901.0	3.9993222
105632990	1031	2333.0	3.857694
105632999	1815	6293.0	2.3518195
105633010	2234	7116.0	3.5132096
105633029	2006	7056.0	2.0549886
105633046	2281	6083.0	5.885254
105633055	2291	7233.0	4.1753078
105633057	2193	7582.0	1.0551306
105633095	2489	7477.0	4.5205297
105633248	994	2356.0	4.286927
105633353	1926	6517.0	3.4371643
105633383	2222	6600.0	5.409091
105633443	2225	7301.0	3.9994524
105633469	1956	5988.0	9.85304
105633472	1780	6735.0	2.9547143
105633500	1991	6953.0	3.5668056
105633560	1994	6056.0	3.335535
105633569	1546	4297.0	2.6762857
105633581	1565	5410.0	3.8817008
105633700	2110	9125.0	2.5095892
105633719	1598	5630.0	3.2859678
105633753	913	2256.0	2.1719859
105633783	1691	6342.0	3.043204
105633833	1601	5459.0	2.4912987
105633887	1562	5521.0	1.9561675
105633890	1361	4311.0	2.5748086
105633904	1578	6143.0	2.4418037
105633964	1721	5941.0	2.4238343
105633979	1603	6928.0	4.0271363
105634003	1530	5635.0	2.2715173
105634022	2161	6017.0	5.6174173
105634045	1966	5482.0	3.6118205
105634102	1758	5356.0	2.3151608
105634109	1788	4799.0	2.7297354
105634272	1673	4682.0	4.0794535
105634371	1147	3519.0	2.9553852
105634388	1540	5963.0	2.8173738
105634391	1250	4426.0	2.394939
105634452	1440	5389.0	2.1896455
105634475	1004	3544.0	1.4108353
105634577	2240	7278.0	2.541907
105634624	1394	4861.0	3.8058014
105634691	1238	4387.0	1.5956234
105634696	1929	6496.0	1.9396551
105634720	1229	3802.0	2.0252497
105634744	4108	19972.0	2.538554
105634784	1005	2559.0	3.0871434
105634796	1278	3910.0	1.713555
105634805	1362	4264.0	1.6885552
105634859	1116	3669.0	3.1888797
105634871	989	2711.0	5.3854666
105635008	1493	5165.0	2.4007745
105635067	1167	3922.0	2.855686
